DATA,HORA,PRES.MED,T.MED,T.MAX,T.MIN,TSOL.MED,RAD,UR.MED,VT.MED,DIRVT,VT.MAX,PREC,ID_ESTACAO,Geada-OBS
2020-01-01,00:00:00,908.1,22.7,23.1,22.7,19.3,0.0,81.0,0.3,82.0,3.3,0.0,A807,0
2020-01-01,01:00:00,908.0,22.0,22.9,22.0,19.2,0.0,84.0,1.1,71.0,3.2,0.0,A807,0
2020-01-01,02:00:00,907.5,21.5,22.0,21.4,0.0,0.0,0.0,1.1,52.0,3.5,0.0,A807,0
2020-01-01,03:00:00,907.1,21.2,21.5,21.1,0.0,0.0,0.0,0.9,64.0,3.6,0.0,A807,0
2020-01-01,04:00:00,907.1,21.4,21.5,21.2,0.0,0.0,0.0,1.5,46.0,3.4,0.0,A807,0
2020-01-01,05:00:00,906.5,21.1,21.4,21.1,0.0,0.0,0.0,0.3,75.0,3.4,0.0,A807,0
2020-01-01,06:00:00,906.3,20.8,21.2,20.8,0.0,0.0,0.0,0.2,28.0,2.6,0.0,A807,0
2020-01-01,07:00:00,906.0,20.9,20.9,20.7,0.0,0.0,0.0,0.2,11.0,2.7,0.0,A807,0
2020-01-01,08:00:00,906.5,21.1,21.1,20.7,19.4,22.5,90.0,0.0,329.0,1.8,0.0,A807,0
2020-01-01,09:00:00,906.7,22.3,22.4,21.0,18.2,304.4,77.0,0.2,30.0,3.7,0.0,A807,0
2020-01-01,10:00:00,907.0,24.0,24.0,22.3,18.5,693.1,71.0,1.6,300.0,3.3,0.0,A807,0
2020-01-01,11:00:00,907.2,25.3,25.5,23.7,18.4,1379.4,65.0,2.5,304.0,4.9,0.0,A807,0
2020-01-01,12:00:00,907.2,28.4,28.4,25.3,18.2,2416.1,54.0,3.3,294.0,7.2,0.0,A807,0
2020-01-01,13:00:00,906.6,29.8,30.5,28.0,17.4,3598.9,47.0,4.0,259.0,7.7,0.0,A807,0
2020-01-01,14:00:00,906.0,30.0,31.8,29.1,14.8,3656.8,40.0,3.8,249.0,7.7,0.0,A807,0
2020-01-01,15:00:00,905.1,30.5,32.2,27.8,15.0,2881.9,39.0,4.4,243.0,10.9,0.0,A807,0
2020-01-01,16:00:00,904.6,29.8,32.1,29.8,15.3,1912.7,41.0,4.1,240.0,8.7,0.0,A807,0
2020-01-01,17:00:00,903.6,29.9,31.0,28.6,14.2,2272.4,38.0,4.5,233.0,9.5,0.0,A807,0
2020-01-01,18:00:00,904.0,27.7,30.3,27.6,16.2,674.5,50.0,3.6,242.0,10.9,0.0,A807,0
2020-01-01,19:00:00,903.4,27.8,28.0,26.4,16.9,587.8,52.0,2.0,288.0,7.1,0.0,A807,0
2020-01-01,20:00:00,904.1,25.8,27.9,25.4,18.6,348.8,65.0,1.8,320.0,5.8,0.0,A807,0
2020-01-01,21:00:00,905.3,24.2,26.0,24.2,18.5,135.9,71.0,1.5,145.0,7.3,0.0,A807,0
2020-01-01,22:00:00,905.9,22.5,24.2,22.3,17.7,0.0,75.0,0.0,134.0,5.9,0.0,A807,0
2020-01-01,23:00:00,906.8,22.8,22.8,22.4,18.8,0.0,78.0,0.3,124.0,2.2,0.0,A807,0
2020-01-02,00:00:00,907.7,21.4,22.9,21.4,0.0,0.0,0.0,1.7,164.0,4.7,0.2,A807,0
2020-01-02,01:00:00,906.7,20.4,21.4,20.1,0.0,0.0,0.0,0.3,122.0,4.7,3.2,A807,0
2020-01-02,02:00:00,906.0,20.1,20.4,20.0,0.0,0.0,0.0,0.8,274.0,1.9,0.2,A807,0
2020-01-02,03:00:00,905.7,20.2,20.6,20.0,0.0,0.0,0.0,1.5,348.0,4.5,1.2,A807,0
2020-01-02,04:00:00,904.9,20.4,20.4,20.1,0.0,0.0,0.0,1.0,357.0,4.2,0.2,A807,0
2020-01-02,05:00:00,905.0,20.4,20.5,20.3,0.0,0.0,0.0,0.2,281.0,3.0,0.2,A807,0
2020-01-02,06:00:00,905.4,20.4,20.5,20.2,0.0,0.0,0.0,0.2,234.0,1.5,0.0,A807,0
2020-01-02,07:00:00,905.4,20.0,20.5,20.0,0.0,0.0,0.0,1.4,272.0,2.7,0.0,A807,0
2020-01-02,08:00:00,905.7,19.8,20.0,19.7,0.0,39.0,0.0,1.1,286.0,2.8,0.0,A807,0
2020-01-02,09:00:00,906.5,22.1,22.1,19.8,19.1,542.6,83.0,1.4,298.0,2.5,0.0,A807,0
2020-01-02,10:00:00,906.8,24.2,24.2,21.9,18.6,1410.4,71.0,0.4,218.0,3.2,0.0,A807,0
2020-01-02,11:00:00,907.2,25.0,25.2,23.9,18.7,1299.2,68.0,0.3,140.0,1.9,0.0,A807,0
2020-01-02,12:00:00,907.4,24.9,25.9,24.0,19.4,1383.9,71.0,2.0,100.0,5.1,0.0,A807,0
2020-01-02,13:00:00,907.1,25.7,25.8,24.2,19.6,1313.0,69.0,1.7,118.0,5.1,0.0,A807,0
2020-01-02,14:00:00,907.0,24.9,25.9,24.0,19.3,1382.7,71.0,2.7,123.0,8.0,0.0,A807,0
2020-01-02,15:00:00,907.4,21.3,24.9,21.2,0.0,301.1,0.0,2.1,76.0,8.3,12.4,A807,0
2020-01-02,16:00:00,907.0,21.7,21.9,21.2,0.0,779.7,0.0,2.3,64.0,5.4,0.4,A807,0
2020-01-02,17:00:00,906.6,22.2,22.4,21.4,19.7,738.5,86.0,2.7,76.0,6.6,0.0,A807,0
2020-01-02,18:00:00,906.4,22.2,23.1,22.2,18.0,1745.1,77.0,3.4,72.0,8.0,0.0,A807,0
2020-01-02,19:00:00,906.9,21.4,22.2,21.4,18.1,477.2,81.0,3.2,83.0,8.3,0.0,A807,0
2020-01-02,20:00:00,907.3,20.6,21.5,20.6,18.2,168.3,86.0,3.2,103.0,9.6,0.0,A807,0
2020-01-02,21:00:00,908.1,19.6,20.6,19.6,18.8,12.6,95.0,3.0,83.0,9.9,0.0,A807,0
2020-01-02,22:00:00,909.5,19.0,19.6,18.9,0.0,0.0,0.0,2.8,116.0,8.5,0.0,A807,0
2020-01-02,23:00:00,910.1,18.3,19.1,18.3,0.0,0.0,0.0,3.1,108.0,8.9,0.0,A807,0
2020-01-03,00:00:00,910.5,18.0,18.4,17.9,0.0,0.0,0.0,2.0,116.0,7.8,0.2,A807,0
2020-01-03,01:00:00,910.5,17.9,18.0,17.8,15.0,0.0,83.0,2.4,127.0,8.1,0.0,A807,0
2020-01-03,02:00:00,909.8,17.8,17.9,17.7,15.0,0.0,83.0,2.5,110.0,8.1,0.0,A807,0
2020-01-03,03:00:00,909.3,17.6,17.9,17.5,16.1,0.0,91.0,2.0,117.0,8.9,0.0,A807,0
2020-01-03,04:00:00,909.2,17.2,17.6,17.2,0.0,0.0,0.0,1.9,117.0,6.8,0.0,A807,0
2020-01-03,05:00:00,909.3,17.1,17.3,17.1,0.0,0.0,0.0,2.1,120.0,6.3,0.0,A807,0
2020-01-03,06:00:00,909.4,17.2,17.2,17.0,0.0,0.0,0.0,1.7,112.0,7.1,0.0,A807,0
2020-01-03,07:00:00,909.7,16.9,17.2,16.7,0.0,0.0,0.0,1.5,118.0,5.3,0.0,A807,0
2020-01-03,08:00:00,910.2,16.8,17.0,16.7,0.0,20.9,0.0,2.1,109.0,5.2,0.2,A807,0
