DATA,HORA,PRES.MED,T.MED,T.MAX,T.MIN,TSOL.MED,RAD,UR.MED,VT.MED,DIRVT,VT.MAX,PREC,ID_ESTACAO,Geada-OBS
2021-01-01,00:00:00,923.3,19.8,20.0,19.8,19.2,0.0,96.0,0.6,101.0,2.3,0.0,A818,0
2021-01-01,01:00:00,923.7,19.6,19.8,19.5,19.0,0.0,97.0,0.0,249.0,1.9,0.0,A818,0
2021-01-01,02:00:00,923.6,19.6,19.6,19.1,19.1,0.0,97.0,0.1,30.0,2.1,0.0,A818,0
2021-01-01,03:00:00,923.3,19.5,19.8,19.5,19.0,0.0,97.0,0.0,161.0,1.0,0.0,A818,0
2021-01-01,04:00:00,922.8,19.9,20.0,19.5,19.4,0.0,97.0,0.0,81.0,0.9,0.0,A818,0
2021-01-01,05:00:00,922.6,19.8,20.1,19.7,19.3,0.0,97.0,0.5,124.0,1.1,0.0,A818,0
2021-01-01,06:00:00,922.2,20.5,20.6,19.8,20.1,0.0,97.0,0.4,283.0,2.0,0.8,A818,0
2021-01-01,07:00:00,922.4,20.4,20.6,20.3,19.9,0.0,97.0,0.7,303.0,1.6,0.0,A818,0
2021-01-01,08:00:00,923.0,20.2,20.4,20.2,19.8,0.0,97.0,0.5,343.0,1.8,0.0,A818,0
2021-01-01,09:00:00,923.5,20.2,20.2,20.1,19.8,17.2,97.0,0.8,316.0,1.5,0.0,A818,0
2021-01-01,10:00:00,924.1,20.7,20.8,20.2,20.3,309.3,97.0,1.5,299.0,2.6,0.0,A818,0
2021-01-01,11:00:00,924.3,22.1,22.1,20.7,20.5,790.1,91.0,1.8,285.0,3.1,0.0,A818,0
2021-01-01,12:00:00,924.6,23.4,23.6,21.9,19.7,1486.3,80.0,1.9,269.0,4.3,0.0,A818,0
2021-01-01,13:00:00,924.6,24.8,24.9,23.0,20.1,2457.7,75.0,1.8,302.0,4.2,0.0,A818,0
2021-01-01,14:00:00,924.3,26.9,27.0,24.2,19.3,3555.0,63.0,1.8,284.0,5.6,0.0,A818,0
2021-01-01,15:00:00,924.2,27.2,27.8,26.1,18.4,3712.0,59.0,2.0,277.0,4.5,0.0,A818,0
2021-01-01,16:00:00,923.6,28.3,28.9,27.2,17.7,3746.0,53.0,1.1,334.0,4.5,0.0,A818,0
