DATA,HORA,PRES.MED,T.MED,T.MAX,T.MIN,TSOL.MED,RAD,UR.MED,VT.MED,DIRVT,VT.MAX,PREC,ID_ESTACAO,Geada-OBS
2020-01-01,00:00:00,954.9,25.9,28.6,25.9,20.6,0.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,01:00:00,955.5,24.8,26.0,24.6,19.5,0.0,72.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,02:00:00,955.5,23.8,24.8,23.6,18.6,0.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,03:00:00,955.4,23.4,24.0,23.3,18.1,0.0,72.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,04:00:00,955.0,23.2,23.4,22.9,18.0,0.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,05:00:00,954.9,22.6,23.2,22.3,17.6,0.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,06:00:00,954.0,22.4,22.8,22.4,17.4,0.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,07:00:00,953.8,22.1,22.6,22.1,17.1,0.0,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,08:00:00,954.0,22.2,22.3,22.1,17.3,0.0,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,09:00:00,954.2,22.1,22.3,22.1,17.3,6.5,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,10:00:00,954.8,22.8,22.8,22.1,17.9,171.2,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,11:00:00,955.4,25.2,25.7,22.8,20.1,1020.2,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,12:00:00,955.7,27.0,27.0,24.0,22.0,1346.5,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,13:00:00,955.5,27.7,28.3,26.6,22.4,2373.2,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,14:00:00,955.2,30.1,30.1,27.2,25.0,3122.4,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,15:00:00,954.9,30.8,31.0,29.1,25.6,3501.8,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,16:00:00,953.9,31.3,31.7,29.6,26.1,3139.4,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,17:00:00,952.8,31.5,32.1,30.5,26.4,3699.7,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,18:00:00,952.0,32.4,32.7,31.3,27.1,3252.1,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,19:00:00,951.7,32.3,32.6,30.9,27.0,2497.4,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,20:00:00,951.6,26.9,32.6,26.9,21.6,1212.4,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,21:00:00,951.9,25.8,26.9,25.8,20.7,611.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,22:00:00,952.5,24.5,25.8,24.3,19.4,199.5,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-01,23:00:00,953.2,24.2,24.5,24.0,19.1,10.5,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,00:00:00,954.0,24.9,25.0,24.2,19.8,0.0,73.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,01:00:00,954.2,23.4,24.9,23.4,18.5,0.0,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,02:00:00,954.1,22.4,23.4,22.4,17.5,0.0,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,03:00:00,953.8,21.8,22.9,21.8,17.0,0.0,74.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,04:00:00,953.4,21.8,22.4,21.4,17.2,0.0,75.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,05:00:00,953.2,21.9,22.0,21.4,17.4,0.0,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,06:00:00,952.9,21.9,22.0,21.8,17.4,0.0,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,07:00:00,953.1,21.8,21.9,21.8,17.4,0.0,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,08:00:00,953.2,21.0,21.8,21.0,16.7,0.0,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,09:00:00,953.6,21.5,21.8,20.8,17.2,5.6,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,10:00:00,954.3,21.8,21.9,21.4,17.5,151.9,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,11:00:00,954.6,23.1,23.1,21.8,18.7,487.6,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,12:00:00,955.2,23.9,24.0,23.0,19.3,680.9,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,13:00:00,955.5,24.2,24.6,23.7,19.6,581.0,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,14:00:00,955.3,26.1,26.9,24.1,21.4,1505.5,75.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,15:00:00,955.0,27.6,28.1,26.1,22.9,2672.3,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,16:00:00,954.4,27.8,28.9,27.2,23.0,2902.4,75.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,17:00:00,953.7,29.7,30.1,27.7,24.9,3291.0,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,18:00:00,952.8,29.5,29.7,27.7,24.9,1539.7,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,19:00:00,952.2,29.6,30.5,29.0,24.8,3012.5,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,20:00:00,952.2,26.6,30.5,25.0,22.0,1342.9,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-02,21:00:00,952.7,27.9,28.2,25.8,23.3,1427.5,76.0,0.0,0.0,0.0,0.2,A825,0
2020-01-02,22:00:00,953.4,24.1,27.9,24.1,19.4,358.1,75.0,0.0,0.0,0.0,0.4,A825,0
2020-01-02,23:00:00,953.7,22.9,24.1,22.9,18.6,81.7,77.0,0.0,0.0,0.0,6.0,A825,0
2020-01-03,00:00:00,954.4,23.0,23.3,22.9,18.8,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,01:00:00,954.3,23.1,23.2,22.9,18.9,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,02:00:00,954.6,23.0,23.5,23.0,18.8,0.0,77.0,0.0,0.0,0.0,0.2,A825,0
2020-01-03,03:00:00,954.4,22.0,23.1,21.9,17.8,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,04:00:00,954.0,21.6,22.1,21.6,17.4,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,05:00:00,953.8,21.7,21.8,21.6,17.5,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,06:00:00,954.1,21.7,21.9,21.5,17.6,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,07:00:00,954.5,23.1,23.1,21.7,18.9,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,08:00:00,955.0,23.3,23.4,23.1,18.9,0.0,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,09:00:00,955.5,22.7,23.3,22.7,18.4,2.9,77.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,10:00:00,956.2,22.9,23.2,22.6,18.5,205.3,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,11:00:00,956.7,23.6,23.6,22.8,19.2,547.4,76.0,0.0,0.0,0.0,0.0,A825,0
2020-01-03,12:00:00,956.9,25.6,25.9,23.6,21.1,1744.1,76.0,0.0,0.0,0.0,0.0,A825,0
